layer_index,mae_unit,mae_ols,p90_unit,p90_ols
0,0.0,0.0,0.0,0.0
1,1.7007838968435924,0.9872363551029548,3.0851440429687518,2.1106561231930914
2,2.011239542265733,1.0392790446219025,3.874227905273438,1.9287924980571485
3,1.8302572855022219,0.7721881420659612,4.816369628906254,1.4190715172228232
4,2.402511063615481,1.1628828849321375,4.6356201171875,2.6676025235820955
5,2.222283992138174,0.9692801159889474,4.736279296875001,2.3092162989955627
6,2.361843850745095,1.0186763512998074,5.27080078125,2.3245645316688375
7,2.729926680194007,1.1696771166217887,5.9857666015625,2.243433759250259
8,2.6669339988297884,1.7646738687083618,5.8095031738281255,3.1942909272542614
9,3.1326380416088635,1.3813256978317832,6.0470458984375,2.6249153898678843
10,3.4114028517074053,1.2034744326284694,6.24776000976563,2.548429183737659
11,3.7765676837828424,1.2088102344691936,7.188037109375001,2.4596675287890744
12,3.9475859066181713,1.0440195273387924,7.424282836914062,2.430073436390524
13,4.378563929829332,1.0969191320786689,8.289764404296877,2.147231015516189
14,4.851470140649213,1.19123300188101,8.374981689453126,2.2000802506458634
15,4.889997640417682,1.2814614318761164,8.117118835449224,2.438167355903162
16,5.122310946616862,0.964017234420551,9.011669921875,1.9620380314454264
17,5.603587352600362,1.3199121846980217,9.19483642578125,2.839230626874371
18,5.648047533068392,1.3073559676166226,8.772012329101564,2.895835252474168
19,5.771071782012781,2.165022736997591,10.127748107910158,4.558564202631622
20,5.899972842302588,1.9758716560191625,9.79609375,4.030727017956592
21,6.326381037268374,2.490793747815531,9.950107288360597,5.441099607667617
22,6.33463988069031,3.7480720123485822,10.927325439453126,8.057264569749828
23,6.662483287685447,4.435147652116308,11.161968994140631,8.566789773476005
24,7.101502352986071,6.573482964238389,12.379261779785157,12.326820778440194
25,6.519564398427804,5.663899371247089,10.879595947265626,10.534302805472572
26,6.932972755200333,4.705469365006205,12.251879882812503,9.907795982520563
27,7.033707878092925,4.312643612260791,11.638897705078126,9.60019034343445
28,6.921108146260182,5.8215892555993,11.403222656250005,11.680395185665617
29,6.811024502664805,5.562208199417778,11.652099609375002,9.781737085885597
30,7.044103001505136,4.874685255924835,12.127955627441414,9.098567793050321
31,7.057963920185963,3.9296579684939155,11.660763549804694,8.20525440856814
